
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
      0     0.00       0.00       0.00      66   0 kswapd0
      0     0.00       0.00       0.00       2   0 kthreadd
      0     0.00       0.00       0.00      68   0 kthrotld
      0     0.00       0.00       0.00       7   0 kworker/0:0-inode_switch_wbs
      0     0.00       0.00       0.00       8   0 kworker/0:0H-events_highpri
      0     0.00       0.00       0.09       9   0 kworker/0:1-inode_switch_wbs
      0     0.00       0.00       0.02      65   0 kworker/0:1H-kblockd
      0     0.00       0.00       0.00     109   0 kworker/0:2-cgroup_destroy
      0     0.00       0.00       0.00     187   0 kworker/0:3-inode_switch_wbs
      0     0.00       0.00       0.00     775   0 kworker/0:4-events
      0     0.00       0.00       0.01     776   0 kworker/0:5-events
      0     0.00       0.00       0.10      29   0 kworker/1:0-events
      0     0.00       0.00       0.00      30   0 kworker/1:0H-kblockd
      0     0.00       0.00       0.00      48   0 kworker/1:1-mm_percpu_wq
      0     0.00       0.00       0.03     113   0 kworker/1:1H-kblockd
      0     0.00       0.00       0.00     167   0 kworker/1:2-cgroup_destroy
      0     0.00       0.00       0.00     335   0 kworker/1:3-cgroup_destroy
      0     0.00       0.00       0.00      23   0 kworker/2:0-slub_flushwq
      0     0.00       0.00       0.00      24   0 kworker/2:0H-events_highpri
      0     0.00       0.00       0.41      53   0 kworker/2:1-events
      0     0.00       0.00       0.02     111   0 kworker/2:1H-kblockd
      0     0.00       0.00       0.01     324   0 kworker/2:2-events
      0     0.00       0.00       0.00     600   0 kworker/2:3-events
      0     0.00       0.00       0.01      35   0 kworker/3:0-events
      0     0.00       0.00       0.00      36   0 kworker/3:0H-events_highpri
      0     0.00       0.00       0.00      41   0 kworker/3:1-cgroup_destroy
      0     0.00       0.00       0.04      93   0 kworker/3:1H-kblockd
      0     0.00       0.00       0.00     186   0 kworker/3:2-cgroup_destroy
      0     0.00       0.00       0.02     189   0 kworker/3:3-events
      0     0.00       0.00       0.39      10   0 kworker/u8:0-flush-8:0
      0     0.00       0.00       0.03      39   0 kworker/u8:1-flush-8:0
      0     0.00       0.00       0.01      44   0 kworker/u8:2-events_power_efficient
      0     0.00       0.00       0.08      72   0 kworker/u8:3-events_power_efficient
      0     0.00       0.00       0.01      76   0 kworker/u8:4-flush-8:0
      0     0.00       0.00       0.01      88   0 kworker/u8:5-events_power_efficient
      0     0.00       0.00       0.07      89   0 kworker/u8:6-flush-8:0
      0     0.00       0.00       0.00      90   0 kworker/u8:7-flush-8:0
      0     0.00       0.00       0.00    1124   0 kworker/u8:8
      0     0.00       0.00       0.00     103   0 kworker/u9:0
      0     0.00       0.00       0.00      56   0 md
      0     0.00       0.00       0.00      57   0 md_bitmap
      0     0.00       0.00       0.01      16   0 migration/0
      0     0.00       0.00       0.49      27   0 migration/1
      0     0.00       0.00       0.49      21   0 migration/2
      0     0.00       0.00       0.49      33   0 migration/3
      0     0.00       0.00       0.00      92   0 mld
      0     0.00       0.00       0.00      11   0 mm_percpu_wq
      0     0.00      50.34       0.73     739 731 mono
      0     0.00      42.93       0.03     197 197 multipathd
      0     0.00       0.00       0.00       6   0 netns
      0     0.00      18.75       0.07     593 593 networkd-dispatcher
      0     0.00       0.00       0.00      69   0 nfit
      0     0.00       0.00       0.00      83   0 nvme-auth-wq
      0     0.00       0.00       0.00      81   0 nvme-delete-wq
      0     0.00       0.00       0.00      78   0 nvme-reset-wq
      0     0.00       0.00       0.00      73   0 nvme-wq
      0     0.00       0.00       0.00      43   0 oom_reaper
      0     0.00      48.68       0.11     595 595 php-fpm8.1
      0     0.00      20.16       0.00     938 595 php-fpm8.1
      0     0.00      20.16       0.00     946 595 php-fpm8.1
      0     0.00       3.00       0.00     976 975 podman pause
      0     0.00     114.23       2.20     602 602 provisioner
      0     0.00     176.60       0.55    1584 602 provjobd
      0     0.00     373.56       6.13    1717 602 pwsh
      0     0.00      23.53       0.22     629 629 python3
      0     0.00      32.19       0.80    1015 629 python3
      0     0.00       0.00       0.00       3   0 rcu_gp
      0     0.00       0.00       0.00       4   0 rcu_par_gp
      0     0.00       0.00       0.05      15   0 rcu_sched
      0     0.00       0.00       0.00      12   0 rcu_tasks_rude_kthread
      0     0.00       0.00       0.00      13   0 rcu_tasks_trace_kthread
      0     0.00       5.88       0.03     601 601 rsyslogd
      0     0.00     109.74       1.68    1596 602 Runner.Listener
      0     0.00     120.61       1.97    1612 602 Runner.Worker
      0     0.00       0.00       0.00      70   0 scsi_eh_0
      0     0.00       0.00       0.00      71   0 scsi_eh_1
      0     0.00       0.00       0.00      77   0 scsi_eh_2
      0     0.00       0.00       0.00      80   0 scsi_eh_3
      0     0.00       0.00       0.00      84   0 scsi_eh_4
      0     0.00       0.00       0.00      86   0 scsi_eh_5
      0     0.00       0.00       0.00      74   0 scsi_tmf_0
      0     0.00       0.00       0.00      75   0 scsi_tmf_1
      0     0.00       0.00       0.00      79   0 scsi_tmf_2
      0     0.00       0.00       0.00      82   0 scsi_tmf_3
      0     0.00       0.00       0.00      85   0 scsi_tmf_4
      0     0.00       0.00       0.00      87   0 scsi_tmf_5
      0     0.00       0.00       0.00       5   0 slub_flushwq
      0     0.00      44.78       0.41     615 615 snapd
      0     0.00       9.00       0.00     653 653 sshd -D [listener] 0 of 10-100 startups
      0     0.00      14.61       2.58       1   1 systemd
      0     0.00       9.38       0.13     771 771 systemd
      0     0.00      18.71       0.36     154 154 systemd-journald
      0     0.00       7.62       0.09     627 627 systemd-logind
      0     0.00       8.12       0.04     462 462 systemd-networkd
      0     0.00      13.09       0.11     464 464 systemd-resolved
      0     0.00       6.12       0.30     207 207 systemd-udevd
      0     0.00       0.00       0.00    1248   0 tls-strp
      0     0.00       0.00       0.00      54   0 tpm_dev_wq
      0     0.00       0.00       0.00      64   0 watchdogd
      0     0.00       0.00       0.00      45   0 writeback

